category,skills
Backend,"c#, c#, c#, c#, self, tivoli, c#, back end, database software"
Backend,"full stack developer, full stack developer, ruby on rails, ruby on rails"
Backend,"c++, c#"
Backend,spring framework
Backend,"spring, junit, oracle, ia, authorization"
Backend,"c#, c#, c#, c++"
Backend,"c#, skill, ml, ui"
Backend,"oracle, oracle, oracle, oracle, oracle, unix, oracle, oracle, oracle, identity management, oracle, oracle application server, oracle, oracle, unix, oracle, oracle, self"
Backend,"go, spring framework"
Backend,"junit, git, backend"
Backend,"nosql, scala, database, oracle"
Backend,c#
Backend,"software engineer, c++"
Backend,"software engineer, routing, c#, c++"
Backend,"database, database, authentication, oracle"
Backend,"self, c"
Backend,"c#, c#, c#, secure coding, qa"
Backend,"nosql, mongodb"
Backend,"c#, c#, c++, c#"
Backend,"informatica powercenter, oracle, c, database"
Backend,"oracle, oracle, oracle, oracle"
Backend,c#
Backend,"go, oracle database, r"
Backend,backend
Backend,"unix, oracle"
Backend,"oracle, oracle, oracle, oracle, oracle"
Backend,"software engineer, software engineer, software engineer, c, c++, c, c"
Backend,oracle database
Backend,"back end, php, c#, restful api, mysql"
Backend,"r, programming languages, structured query language sql, git"
Backend,"oracle, oracle peoplesoft"
Backend,"software engineer, r, ladder logic, subversion, c#"
Backend,"software engineer, software engineer, php, php, html5, css3, r"
Backend,spring
Backend,"full stack, full stack, oracle, linkedin"
Backend,"c#, c#"
Backend,oracle
Backend,"oracle, oracle, oracle, skill, oracle, oracle, j, git, salesforce, oracle, oracle"
Backend,"software engineering, c#, self"
Backend,"c#, routing"
Backend,"oracle, oracle"
Backend,"qa, c#, qa, nunit, git, selenium, ui"
Backend,"smart, skype, skill, c#, sqlite, player"
Backend,"c#, c#, c#"
Backend,"c#, c#, self, self"
Backend,c#
Backend,"c, r, go, mcafee"
Backend,"scala, scala, smart"
Backend,"database, impact, watir, selenium, oracle, mysql, nosql, mongodb"
Backend,c#
Backend,backend
Backend,"informatica powercenter, informatica powercenter, unix, oracle"
Backend,"ui, software engineer, c#, database, confluence, git"
Backend,"r, r, oracle peoplesoft, youtube, oracle, database"
Backend,"oracle, oracle, oracle, oracle, oracle, oracle pl/sql, oracle, identity management, identity management, oracle"
Backend,"oracle, oracle"
Backend,"orm, spring, database, unix"
Backend,"database, c/c++, database, oracle"
Backend,"ui, opengl, ui, c++, ui"
Backend,"qa, virtual, oracle, oracle"
Backend,"scala, apache spark, scala, scala"
Backend,"c#, microsoft dynamics crm, c#"
Backend,"software engineer, software engineer, software engineer, software engineering, database, c, c++, software engineering, c#, oracle database, go"
Backend,"node.js, spring, spring"
Backend,"c/c++, smart, smart, go"
Backend,"software engineer, software engineer, nosql, ruby on rails, nosql"
Backend,"oracle, oracle, oracle, oracle, oracle, oracle, oracle"
Backend,"full stack, c#, full stack developer, full stack, back end, c#"
Backend,"oracle, oracle, oracle, oracle"
Backend,"scala, scala, scala, apache spark"
Backend,"c, c, c++"
Backend,"software engineering, c#"
Backend,"ruby on rails, ruby on rails, ruby, c++, c#"
Backend,nosql
Backend,"oracle, oracle, oracle, oracle"
Backend,"c#, ui, oracle, ajax, linkedin"
Backend,"database, rest api, xcode"
Backend,perl
Backend,c#
Backend,"software engineer, software engineer, software engineer, software engineer, software engineer, c#, impact, microsoft office, qa"
Backend,"php, mysql, php, impact, php, mysql"
Backend,"php, ui, ui, ui, ux, ui, ui, mysql, database"
Backend,"skill, qa, salesforce, selenium, selenium, ruby, watir"
Backend,"software engineer, c++, c#, software engineer, self, c++, c#, software engineer"
Backend,c#
Backend,"c#, full stack, c#"
Backend,nosql
Backend,"oracle, oracle, oracle, oracle"
Backend,"oracle, oracle, oracle, oracle"
Backend,"oracle, oracle, oracle"
Backend,"spring framework, spring, junit, html5"
Backend,"software engineer, software engineer, software engineer, spring, unix, spring, oracle, mysql, postgresql"
Backend,"oracle, routing"
Backend,"oracle, spring, spring framework, html5, oracle"
Backend,"software engineer, software engineer, scala, spring, scala, spring, nosql, software engineering, unix, scala"
Backend,"c, c++, perl, c#"
Backend,"qa, qa, unix, c++, c++, perl, unix, perl"
Backend,"spring, oracle pl/sql, programming languages, oracle"
Backend,"qnx, c/c++"
Backend,"c#, qa"
Backend,"software engineer, reduce, c#"
Backend,"c++, c++, c++, c++, c++"
Backend,"software engineering, c#"
Backend,"node.js, node.js, nosql, node.js, nosql, go, node.js, nosql"
Backend,"oracle, oracle, oracle, oracle, oracle, oracle, unix shell"
Backend,"oracle database, stage"
Backend,"c, database, skill, self"
Backend,"c++, c++"
Backend,"software engineer, software engineer, software engineering, self, groovy, scala"
Backend,"rest api, back end, node.js, back end"
Backend,"verilog, systemverilog, verilog, perl"
Backend,"oracle database, unix shell"
Backend,"c++, c++"
Backend,"go, rest api, rest api"
Backend,"mongodb, database"
Backend,"software engineer, c, c++"
Backend,"oracle, oracle, oracle, oracle"
Backend,"spring, oracle"
Backend,"ruby, ruby, ruby, selenium, ruby"
Backend,"c#, c#, c#, database"
Backend,"database, smart, database management systems, oracle, spring"
Backend,"oracle, go"
Backend,"software engineering, c#"
Backend,"oracle, oracle, oracle, unix, database, skill"
Backend,"c#, c#, sqlite"
Backend,"puppet, c#"
Backend,"oracle, oracle, oracle weblogic, oracle, xquery, player"
Backend,"self, scala, c, haskell, git, scala"
Backend,"oracle, software engineering"
Backend,"spring, ibm websphere, oracle, backend, database"
Backend,"backend, self, qa, r, c#"
Backend,"full stack, full stack, ui, c#, mysql"
Backend,"linkedin, linkedin, c#, c#, c++"
Backend,"spring, rest api, junit, database"
Backend,"c++, c, emulators"
Backend,"software engineer, software engineer, player, skill, software engineer, c#"
Backend,"c#, smart, impact, c#, c, xcode, c, c#, ui, opengl, haskell"
Backend,"c, c, c#, emulators"
Backend,"c, editing software"
Backend,"software engineer, c#, structured query language sql, oracle, software engineer, adobe coldfusion"
Backend,"c#, oracle, database"
Backend,"back end, reduce"
Backend,"linkedin, skype, linkedin, skype, c#"
Backend,"software engineer, software engineer, software engineer, c++"
Backend,oracle
Backend,c#
Backend,"c#, c++, salesforce"
Backend,"backend, c++, c#, database, database"
Backend,"oracle, oracle"
Backend,"qa, backend, ibm rational"
Backend,"scala, scala"
Backend,oracle
Backend,"software engineer, software engineering, c#"
Backend,"qa, spring, xquery, player"
Backend,"unix, database, oracle, mysql"
Backend,"c++, opengl, c++, c++, opengl, skill, opengl, c++"
Backend,"spring boot, nosql, spring boot, nosql, spring boot, spring, nosql, unix, spring boot, spring, nosql, mongodb, unix"
Backend,"spring, git"
Backend,"qa, c#, player"
Backend,"identity management, mysql"
Backend,"database, c, linkedin, linkedin"
Backend,"oracle, oracle, oracle, oracle, unix"
Backend,"c, c, c, c, ssl, encryption"
Backend,c
Backend,"oracle, oracle, oracle, database, oracle, microsoft word"
Backend,"database, database, c#, database, database, database, nosql, database"
Backend,"symantec, unix, symantec, symantec, oracle"
Backend,c#
Backend,"back end, back end"
Backend,"c#, oracle, oracle"
Backend,"c, c, c#"
Backend,c#
Backend,"software engineer, software engineer, software engineer, software engineering, self, player, groovy, scala"
Backend,"nosql, software engineer, nosql, marklogic, mongodb, nosql, database, smart"
Backend,"sas, sas, sas, sas, c, sas"
Backend,c#
Backend,"c++, opengl, c++, opengl, ui, c++, software engineering, self, virtual"
Backend,nosql
Backend,"oracle, database, oracle"
Backend,"backend, impact, impact"
Backend,"oracle, oracle, oracle, oracle, oracle"
Backend,"oracle, oracle, oracle, skill, groovy, gmail"
Backend,"c/c++, c, c++, programming languages, c++, unix"
Backend,"smart, c, player"
Backend,"c, database, c++"
Backend,c#
Backend,"scala, scala"
Backend,"oracle, oracle, oracle, oracle, oracle, git"
Backend,"database, mysql, go"
Backend,"c#, selenium, selenium, git, github, junit, nunit, c#"
Backend,"database, database, database, database, database, database, database, database, database, database, database, oracle, oracle, player"
Backend,c
Backend,"oracle, oracle"
Backend,"oracle, oracle, oracle"
Backend,"qa, qa, qa, qa, oracle"
Backend,"c++, c#, national instruments labview"
Backend,"full stack developer, c++, c++, full stack developer, back end, c++, full stack developer"
Backend,"node.js, c#"
Backend,"scala, scala, scala, scala, database"
Backend,"c#, database, player"
Backend,"oracle, oracle"
Backend,"c, database, skill, self"
Backend,"nosql, wireshark"
Backend,"database, database, mysql, database, database, database"
Backend,"software engineer, c++"
Backend,"c, spring, c, microsoft visual studio, nunit, subversion"
Backend,"kernel, c/c++, c#"
Backend,"oracle, oracle, access control, authentication, authorization, authentication, authorization, authentication, authorization, oracle, oracle"
Backend,"c++, c++, c"
Backend,"ruby, ruby"
Backend,"oracle, oracle, oracle"
Backend,"software engineer, software engineer, back end"
Backend,"software engineer, apache spark, nosql, player, scala"
Backend,spring
Backend,oracle
Backend,"ui, ui, c, c, ui, ui, facebook, twitter"
Backend,"oracle, qa"
Backend,"c#, full stack, software engineering, self"
Backend,"oracle, spring"
Backend,"php, elasticsearch, php, elasticsearch, backend, php, software engineer"
Backend,"auto, spring, spring, oracle"
Backend,c#
Backend,"smart, skype, skill, smart, c#, sqlite, smart, player"
Backend,"c++, c#"
Backend,spring
Backend,"scala, apache spark, scala, oracle"
Backend,"junit, spring"
Backend,"c, c++"
Backend,"smart, c#"
Backend,"spring, mysql, grails, spring, groovy, grails, spring, mysql, grails, spring, groovy, grails"
Backend,"junit, skill, spring, c"
Backend,"unix, oracle, unix, backend, database, oracle, unix, skill, unix"
Backend,"oracle, oracle, oracle, skill, oracle"
Backend,"c++, c++, c++, c++, c++"
Backend,"c#, ui, ui"
Backend,oracle
Backend,"oracle, oracle, oracle"
Backend,"microsoft sql server, oracle"
Backend,"spring, spring, spring, spring, spring, oracle, spring, spring, software engineering, self, go"
Backend,backend
Backend,"c#, oracle, database"
Backend,"c#, c#, c#, c#, framework for integrated test fit, qa, qa, selenium, fitnesse"
Backend,c#
Backend,oracle
Backend,"oracle, oracle pl/sql, oracle, oracle, perl, unix shell, oracle database"
Backend,"oracle, database, oracle"
Backend,"software engineer, c#, backend, backend, backend, database, c#, c#, oracle, database, c#, c#, oracle, database"
Backend,"software engineer, software engineer, software engineer, c, database, oracle , go"
Backend,"c#, c#, c#, c#"
Backend,"c#, microsoft office"
Backend,"ui, ui, ui, skill, c#"
Backend,"skill, c#, ado.net, microsoft sql server"
Backend,"tableau, tableau, tableau, c, tableau, skill, tableau, c"
Backend,"database, oracle"
Backend,c
Backend,"ui, fullstack, oracle, c"
Backend,c
Backend,"c, database"
Backend,"software engineer, software engineer, c#, self, r"
Backend,"selenium, selenium, junit, certain, selenium, programming languages, selenium, ruby, fitnesse, watir, junit, testng, spring"
Backend,c
Backend,"software engineer, microstrategy, microstrategy, microstrategy, microstrategy, microstrategy, microstrategy, microstrategy, microstrategy, sas, unix, oracle"
Backend,"oracle, oracle, oracle software"
Backend,"software engineer, opengl, software engineering, object-oriented programming languages, c++, c, programming languages, c, graphics software"
Backend,c
Backend,"database, database, database, database, microsoft sql server, microsoft sql server, oracle, mysql"
Backend,oracle
Backend,"orm, spring, database, unix"
Backend,"c#, c#, oracle, database, testing software, c#, oracle"
Backend,"full stack, full stack, c#, database, database"
Backend,"qa, selenium, c#, selenium, c#"
Backend,"oracle, oracle"
Backend,"oracle, oracle, oracle, oracle"
Backend,"c#, c#, c++, c#, database, ibm db2, oracle"
Backend,"oracle, oracle, oracle, oracle, oracle, oracle, oracle, oracle"
Backend,mysql
Backend,"c#, c#, dig, c#, c#, c#"
Backend,"c#, c#, impact, chef"
Backend,"oracle, oracle, oracle"
Backend,"c#, c#, c#, c#"
Backend,"spring, unix, spring"
Backend,"c/c++, c/c++, c/c++, r, lapack"
Backend,scala
Backend,"c#, c#, backend, c#, self, qa, programming languages, c#, database"
Backend,spring
Backend,"oracle, oracle, oracle, oracle"
Backend,"c#, c#, c#, c#"
Backend,"nosql, scala"
Backend,"oracle, oracle"
Backend,"c#, software engineering, c#"
Backend,microsoft sql server
Backend,"c#, c#, c#, c#"
Backend,"spring, software engineer"
Backend,"spring, rest api, junit, database"
Backend,"oracle, oracle"
Backend,"spring, confluence"
Backend,"virtual, backend, reduce, unix, citrix, tivoli, self"
Backend,"oracle pl/sql, unix"
Backend,"skill, ui, qa, c#, nunit, google"
Backend,"software engineer, c++"
Backend,"c++, c++, c++, skill"
Backend,"ui, spring, spring"
Backend,"c#, oracle, orm, rest api"
Backend,"self, software engineering, ruby, watir, mongodb, mysql, ruby, ruby, unix"
Backend,"ux, ux, ux, css3, html5, c, self, ux, ux"
Backend,"ruby on rails, ruby on rails, ruby on rails, ruby, ruby, database, mysql, postgresql, redis, nosql, ruby, self"
Backend,"go, backend, spring"
Backend,"php, php"
Backend,"perl, perl, unix, perl, c"
Backend,"database, database, back end, database, back end"
Backend,"c#, c#, c#"
Backend,"c++, qnx"
Backend,"c#, software engineering"
Backend,"nodejs, mongodb"
Backend,"oracle, oracle, oracle, oracle, linkedin, linkedin"
Backend,"spring, spring, spring, spring, oracle, spring, spring, spring"
Backend,"qa, qa, qa, qa, oracle, oracle"
Backend,"oracle, oracle, oracle, oracle"
Backend,"sas, sas, sas, sas, sas, sas, sas, sas, sas, oracle, skill, skill, sas, sas"
Backend,"elasticsearch, nagios, mysql, ssl"
Backend,"ab initio, ab initio, database, ab initio, backend, oracle, database, unix shell"
Backend,"informatica powercenter, unix, oracle, oracle, self, informatica powercenter, oracle"
Backend,"c#, oracle database, unix"
Backend,oracle
Backend,c++
Backend,"c#, c#, c#, qa"
Backend,spring
Backend,"player, c#, player, skill"
Backend,"oracle, database, database, database, database, database, database, database, database, database, oracle, oracle"
Backend,"spring, back end, oracle, rest api"
Backend,"spring, spring, spring, spring, spring, spring, spring, spring, spring, spring, software engineering, self, go, skype"
Backend,"c, c++, c, c++, unix, c++, database"
Backend,"oracle, oracle, oracle"
Backend,"scala, scala, c#, database, ui"
Backend,oracle
Backend,"c, c, google, microsoft office"
Backend,"drupal, drupal, drupal, backend, qa, authorization"
Backend,"oracle, oracle, oracle, oracle, oracle, qa, oracle"
Backend,"go, unified modeling language uml, c/c++, go"
Backend,"php, perl, oracle, php, perl"
Backend,"c++, c++, c++, c++, c++, c"
Backend,"oracle, oracle, oracle, oracle"
Backend,"software engineer, c, c++"
Backend,"oracle, oracle, oracle, oracle, oracle, oracle, subversion"
Backend,"spring, perl"
Backend,"oracle, oracle, oracle"
Backend,"php, software engineer, php, php, git, skill"
Backend,"backend, backend, back end, backend, spring, spring, software engineer"
Backend,"impact, c#"
Backend,"orm, spring, self, database, junit, unix"
Backend,"spring framework, git, oracle pl/sql"
Backend,"reduce, mongodb, nosql, scala, scala"
Backend,"c#, c#, impact, c#"
Backend,"identity management, c/c++, c"
Backend,"spring, html5, ruby, spring, html5"
Backend,"unix shell, database, oracle, database, unix shell, ia"
Backend,"c++, smart, virtual, c++, c"
Backend,"c#, c#"
Backend,"skill, ruby"
Backend,"oracle, oracle, oracle, oracle, skill, oracle"
Backend,"ui, ui, ui, spring"
Backend,"c, junit, spring, unix shell"
Backend,"oracle, oracle, skype"
Backend,"oracle pl/sql, oracle pl/sql, oracle pl/sql, oracle"
Backend,oracle
Backend,"c#, html5, go, microsoft sql server"
Backend,"c#, c#, nunit, restful api"
Backend,"c#, c#, microsoft dynamics crm, microsoft dynamics crm, encryption, database, database, c#"
Backend,"c++, c++"
Backend,"c/c++, c#"
Backend,oracle
Backend,"skill, oracle, unix, qa, qa"
Backend,"software engineer, software engineer, software engineer, ada, programming languages, c/c++, auto, go"
Backend,"impact, software engineering, spring framework, spring, mysql, oracle, database"
Backend,"php, fullstack, fullstack, php, php, zend framework"
Backend,"mysql, database"
Backend,"software engineer, full stack, mongodb, node.js, html5, css3, self, mongodb, node.js, html5, css3"
Backend,"c, c"
Backend,"database, player, oracle pl/sql, oracle, oracle"
Backend,"oracle, oracle"
Backend,"c, phonegap"
Backend,"c#, c#, c#, oracle, database, testing software, c#"
Backend,"qa, oracle"
Backend,"c#, c#, self, player"
Backend,"c/c++, software engineer, c/c++, software engineer, c/c++"
Backend,"oracle, oracle, oracle"
Backend,"scala, scala, scala, reduce, apache spark, database, database, oracle, nosql"
Backend,oracle
Backend,"c++, c++, c++, c++"
Backend,"qa, skill, oracle, stage"
Backend,"c#, oracle, c#, oracle"
Backend,"skill, spring"
Backend,"ui, nodejs, reactjs, rest api, nodejs, html5, player"
Backend,c#
Backend,"microsoft dynamics crm, microsoft dynamics crm, microsoft dynamics crm, microsoft dynamics crm, microsoft sql server, database, database"
Backend,"oracle, oracle, oracle, oracle"
Backend,"oracle, oracle, oracle"
Backend,"smart, c"
Backend,"c#, c#"
Backend,"skill, c#, ruby on rails, groovy"
Backend,"c++, c++, unix"
Backend,"c#, c#, c#, impact, c#"
Backend,"microsoft dynamics, microsoft dynamics, c#, microsoft dynamics crm, microsoft dynamics"
Backend,oracle
Backend,"skill, scala, oracle"
Backend,"oracle, oracle, oracle, oracle, oracle, oracle"
Backend,"unix shell, qa, unix, oracle"
Backend,"c#, c#, ajax"
Backend,"unix, unix, unix shell, oracle , database, database, xquery, git, shell script"
Backend,"c#, microsoft visual studio, c++, c#, oracle"
Backend,"software engineering, qa, qa, microsoft windows, c#, microsoft windows, microsoft sql server"
Backend,"self, c++, c, self, c++, c"
Backend,"oracle, go, c"
Backend,"software engineer, software engineering, encryption, c++"
Backend,"c, skill"
Backend,"spring, spring"
Backend,"c, r, c, r, qa"
Backend,"full stack, spring, html5, css3, ui, spring"
Backend,"stage, smart, impact, c#, c, skill"
Backend,"c#, html5, css3, ajax"
Backend,"skill, sabre, database, c++"
Backend,oracle
Backend,"backend, spring, spring, software engineer"
Backend,"oracle, unix"
Backend,"c#, c#, c#, c++, c#, database, ibm db2, oracle"
Backend,"unix, microsoft office, unix shell, oracle, oracle database, oracle pl/sql, unix, microsoft office, unix shell"
Backend,"software engineer, software engineer, nosql, impact"
Backend,c#
Backend,"backend, c#, backend, c#, c#, c#, database, c#, nosql, c#, database"
Backend,"oracle, unix, spring"
Backend,c
Backend,spring
Backend,"ruby on rails, ruby on rails, ruby, oracle pl/sql"
Backend,"oracle, oracle pl/sql, oracle"
Backend,"c/c++, qnx, c/c++, qnx, c/c++, qnx, c++"
Backend,"r, xquery, oracle, skype, linkedin"
Backend,"c, c, c, microsoft dynamics, microsoft dynamics, microsoft dynamics gp, microsoft dynamics, microsoft dynamics"
Backend,c
Backend,c
Backend,c
Backend,"spring framework, linkedin, linkedin"
Backend,"go, spring"
Backend,"database, rest api, xcode"
Backend,"backend, esri arcgis, database"
Backend,"oracle, database, backend, database, database, database, sas, oracle, database, database, oracle, database"
Backend,"c, self"
Backend,"oracle, oracle, oracle , oracle, oracle, oracle, oracle, player"
Backend,"c#, c#, c#, c#, database management systems, programming languages, c#, e-verify"
Backend,"oracle, oracle, oracle"
Backend,"junit, skill, spring, c"
Backend,spring
Backend,"impact, ruby on rails, mysql"
Backend,"c, self"
Backend,"oracle fusion middleware, oracle, oracle fusion middleware, oracle, oracle, oracle fusion middleware, oracle fusion middleware, oracle fusion middleware, oracle, oracle, oracle fusion middleware"
Backend,"back end, backend, oracle"
Backend,"c, self"
Backend,"qa, qa, qa, backend, database, backend"
Backend,"c#, qa, qa"
Backend,"django, ui, ui, ui, ui, ui"
